tariff_id,current_tariff_rate,effective_date,expiring_date,country_country_id,product_product_id
25133651,61.332340453226145,2019-08-25T08:00:00.000Z,2004-09-11T08:00:00.000Z,13855279,12539632
25133652,50.638459002406,2011-07-02T08:00:00.000Z,2009-02-07T08:00:00.000Z,13855279,12539632
25133653,67.9497413925389,2000-06-04T08:00:00.000Z,2005-05-04T08:00:00.000Z,13855279,12539632
25133654,10.808497798245773,2000-12-11T08:00:00.000Z,2007-04-16T08:00:00.000Z,13855279,12539632
25133655,48.470299763604565,2007-05-24T08:00:00.000Z,2018-04-17T08:00:00.000Z,13855279,12539632
25133656,57.54996951746455,2011-06-11T08:00:00.000Z,2006-08-14T08:00:00.000Z,13855279,12539632
25133657,34.37236314738882,2020-03-25T08:00:00.000Z,2006-05-04T08:00:00.000Z,13855279,12539632
25133658,32.54278475301719,2012-09-11T08:00:00.000Z,2006-09-10T08:00:00.000Z,13855279,12539632
25133659,9.035831046566212,2008-04-14T08:00:00.000Z,2005-11-15T08:00:00.000Z,13855279,12539632
25133660,34.218826965569654,2021-06-07T08:00:00.000Z,2015-08-20T08:00:00.000Z,13855279,12539632
25133661,98.02984821170175,2001-10-13T08:00:00.000Z,2016-12-02T08:00:00.000Z,13855279,12539632
25133662,67.98185725814785,2015-11-28T08:00:00.000Z,2001-05-12T08:00:00.000Z,13855279,12539632
25133663,11.521375602617004,2016-09-23T08:00:00.000Z,2021-02-03T08:00:00.000Z,13855279,12539632
25133664,16.832496359152874,2014-03-30T08:00:00.000Z,2019-04-16T08:00:00.000Z,13855279,12539632
25133665,1.2968987623574486,2013-06-26T08:00:00.000Z,2014-11-21T08:00:00.000Z,13855279,12539632
25133666,47.97506084233511,2007-01-19T08:00:00.000Z,2020-01-25T08:00:00.000Z,13855279,12539632
25133667,32.75292731158388,2000-11-11T08:00:00.000Z,2015-08-30T08:00:00.000Z,13855279,12539632
25133668,10.374736920550163,2008-06-25T08:00:00.000Z,2013-10-24T08:00:00.000Z,13855279,12539632
25133669,48.61666062219116,2013-01-07T08:00:00.000Z,2011-04-10T08:00:00.000Z,13855279,12539632
25133670,48.42065156214969,2017-10-28T08:00:00.000Z,2001-04-01T08:00:00.000Z,13855279,12539632
25133671,80.12332240628115,2004-05-21T08:00:00.000Z,2003-11-11T08:00:00.000Z,13855279,12539632
25133672,85.17550211212563,2023-06-19T08:00:00.000Z,2009-11-03T08:00:00.000Z,13855279,12539632
25133673,18.385768161781634,2001-08-10T08:00:00.000Z,2010-04-13T08:00:00.000Z,13855279,12539632
25133674,41.91257674291434,2017-11-26T08:00:00.000Z,2008-02-09T08:00:00.000Z,13855279,12539632
25133675,29.04730401076651,2014-11-20T08:00:00.000Z,2008-05-26T08:00:00.000Z,13855279,12539632
25133676,22.593893825105653,2007-08-05T08:00:00.000Z,2002-10-13T08:00:00.000Z,13855279,12539632
25133677,2.570915167160484,2019-04-12T08:00:00.000Z,2001-12-25T08:00:00.000Z,13855279,12539632
25133678,12.039348969075993,2017-05-18T08:00:00.000Z,2008-06-05T08:00:00.000Z,13855279,12539632
25133679,36.496787532259056,2007-06-29T08:00:00.000Z,2006-05-16T08:00:00.000Z,13855279,12539632
25133680,3.1165418517092314,2014-02-22T08:00:00.000Z,2018-04-21T08:00:00.000Z,13855279,12539632
25133681,62.40804414158146,2005-10-04T08:00:00.000Z,2009-07-15T08:00:00.000Z,13855279,12539632
25133682,60.84848448990942,2021-12-26T08:00:00.000Z,2020-05-09T08:00:00.000Z,13855279,12539632
25133683,70.85478744489635,2005-07-23T08:00:00.000Z,2017-04-26T08:00:00.000Z,13855279,12539632
25133684,6.561348447165641,2019-01-28T08:00:00.000Z,2014-04-30T08:00:00.000Z,13855279,12539632
25133685,41.569413762244785,2020-12-26T08:00:00.000Z,2013-09-04T08:00:00.000Z,13855279,12539632
25133686,62.073013193908835,2019-02-19T08:00:00.000Z,2020-01-12T08:00:00.000Z,13855279,12539632
25133687,15.771829378870034,2022-11-11T08:00:00.000Z,2010-09-28T08:00:00.000Z,13855279,12539632
25133688,2.757715895720146,2006-11-14T08:00:00.000Z,2001-02-13T08:00:00.000Z,13855279,12539632
25133689,59.87329197409884,2008-04-20T08:00:00.000Z,2005-04-05T08:00:00.000Z,13855279,12539632
25133690,28.66101356098326,2003-08-02T08:00:00.000Z,2006-09-01T08:00:00.000Z,13855279,12539632
25133691,28.277939418368298,2015-06-23T08:00:00.000Z,2004-11-21T08:00:00.000Z,13855279,12539632
25133692,31.440680281066225,2008-09-04T08:00:00.000Z,2012-11-13T08:00:00.000Z,13855279,12539632
25133693,89.9067308686056,2021-10-26T08:00:00.000Z,2007-03-01T08:00:00.000Z,13855279,12539632
25133694,29.058598850714628,2001-04-25T08:00:00.000Z,2015-10-07T08:00:00.000Z,13855279,12539632
25133695,70.38193364386957,2001-09-27T08:00:00.000Z,2020-11-10T08:00:00.000Z,13855279,12539632
25133696,8.233743203741541,2006-01-14T08:00:00.000Z,2010-12-05T08:00:00.000Z,13855279,12539632
25133697,37.48579569236393,2019-06-25T08:00:00.000Z,2000-06-08T08:00:00.000Z,13855279,12539632
25133698,83.85772882389026,2001-08-24T08:00:00.000Z,2009-12-06T08:00:00.000Z,13855279,12539632
25133699,95.1314487745492,2006-01-23T08:00:00.000Z,2018-11-19T08:00:00.000Z,13855279,12539632
25133700,77.60701207833489,2002-01-04T08:00:00.000Z,2009-02-23T08:00:00.000Z,13855279,12539632
