ID,currentTarriffRate,effectiveDate,expiringDate,countryName
1,49.85508994141789,2002-03-14T08:00:00.000Z,2008-08-15T08:00:00.000Z,countryName-17668250
2,39.41238256859703,2015-02-24T08:00:00.000Z,2012-02-24T08:00:00.000Z,countryName-24549985
3,15.989304614248958,2007-02-03T08:00:00.000Z,2000-10-19T08:00:00.000Z,countryName-24549986
4,58.161747646903095,2011-07-22T08:00:00.000Z,2023-02-05T08:00:00.000Z,countryName-24549987
5,67.17289306389198,2014-02-22T08:00:00.000Z,2022-11-19T08:00:00.000Z,countryName-24549988
6,57.433682075022915,2010-01-13T08:00:00.000Z,2001-11-28T08:00:00.000Z,countryName-24549989
7,60.52815980779197,2020-01-17T08:00:00.000Z,2017-07-10T08:00:00.000Z,countryName-24549990
8,16.652965365973586,2016-07-08T08:00:00.000Z,2010-04-25T08:00:00.000Z,countryName-24549991
9,39.42997784587482,2023-02-03T08:00:00.000Z,2003-05-08T08:00:00.000Z,countryName-24549992
10,8.267567929225633,2010-09-08T08:00:00.000Z,2004-10-14T08:00:00.000Z,countryName-24549993
