scenario_id,tariff_multiplier,capacity_delta,objective_function,created_at,request_request_id,quote_quote_id
21401548,76.35631232696613,4.758564220338819,objective_function-21401548,2000-09-28T08:00:00.000Z,23185428,3029798
21401549,63.241656200555575,11.534262860791303,objective_function-21401549,2000-02-07T08:00:00.000Z,23185428,3029798
21401550,21.1214702917071,67.5145800679843,objective_function-21401550,2008-09-26T08:00:00.000Z,23185428,3029798
21401551,4.26525130688442,29.036308142619742,objective_function-21401551,2019-04-25T08:00:00.000Z,23185428,3029798
21401552,79.01569797075565,87.34856134139773,objective_function-21401552,2020-03-08T08:00:00.000Z,23185428,3029798
21401553,54.051870411648295,74.19830554112448,objective_function-21401553,2008-06-23T08:00:00.000Z,23185428,3029798
21401554,33.06942515464395,75.51970740290686,objective_function-21401554,2003-01-02T08:00:00.000Z,23185428,3029798
21401555,40.96739470181686,23.70457092007659,objective_function-21401555,2020-05-14T08:00:00.000Z,23185428,3029798
21401556,76.06709330047623,41.798835281391625,objective_function-21401556,2000-03-23T08:00:00.000Z,23185428,3029798
21401557,87.12226801141455,55.69563625794053,objective_function-21401557,2020-11-12T08:00:00.000Z,23185428,3029798
21401558,77.85013909427028,87.16401076902723,objective_function-21401558,2018-07-25T08:00:00.000Z,23185428,3029798
21401559,87.53462565520456,73.09566921407425,objective_function-21401559,2013-02-08T08:00:00.000Z,23185428,3029798
21401560,94.3002536665587,75.55227329975367,objective_function-21401560,2009-06-04T08:00:00.000Z,23185428,3029798
21401561,12.651413482029527,27.030572415816778,objective_function-21401561,2000-07-11T08:00:00.000Z,23185428,3029798
21401562,56.91859142614333,51.202986998943715,objective_function-21401562,2018-07-28T08:00:00.000Z,23185428,3029798
21401563,3.1288909606410864,15.259662359500561,objective_function-21401563,2003-03-14T08:00:00.000Z,23185428,3029798
21401564,61.780080622938904,18.259035588722053,objective_function-21401564,2006-08-25T08:00:00.000Z,23185428,3029798
21401565,67.16279096407769,22.62351721001277,objective_function-21401565,2007-04-16T08:00:00.000Z,23185428,3029798
21401566,66.75523260446735,3.4450898318998,objective_function-21401566,2004-01-10T08:00:00.000Z,23185428,3029798
21401567,16.47621638408272,78.25716874585295,objective_function-21401567,2020-05-23T08:00:00.000Z,23185428,3029798
21401568,94.05567585061884,6.594590964404984,objective_function-21401568,2023-12-04T08:00:00.000Z,23185428,3029798
21401569,99.80083128007892,5.188721701060173,objective_function-21401569,2013-05-04T08:00:00.000Z,23185428,3029798
21401570,22.156236872777615,7.015558996074091,objective_function-21401570,2022-07-19T08:00:00.000Z,23185428,3029798
21401571,7.700560040272446,76.66787870883961,objective_function-21401571,2000-12-30T08:00:00.000Z,23185428,3029798
21401572,66.53709333698225,46.16322249053455,objective_function-21401572,2018-12-09T08:00:00.000Z,23185428,3029798
21401573,86.65056918566249,14.812035484365161,objective_function-21401573,2022-12-18T08:00:00.000Z,23185428,3029798
21401574,76.33601371518976,39.286587822872235,objective_function-21401574,2013-02-16T08:00:00.000Z,23185428,3029798
21401575,82.4801580283118,17.82188531492053,objective_function-21401575,2014-01-21T08:00:00.000Z,23185428,3029798
21401576,26.244106636380927,40.83617755173691,objective_function-21401576,2003-05-07T08:00:00.000Z,23185428,3029798
21401577,13.340106041206749,7.017957064628136,objective_function-21401577,2017-08-07T08:00:00.000Z,23185428,3029798
21401578,25.73199311722854,26.31774811166263,objective_function-21401578,2001-12-01T08:00:00.000Z,23185428,3029798
21401579,8.40170870881569,65.41866185760558,objective_function-21401579,2011-08-12T08:00:00.000Z,23185428,3029798
21401580,33.69608263857532,90.07513381663121,objective_function-21401580,2015-04-09T08:00:00.000Z,23185428,3029798
21401581,13.007142719570872,41.83954579952172,objective_function-21401581,2018-01-31T08:00:00.000Z,23185428,3029798
21401582,21.71143606793294,38.05258958044878,objective_function-21401582,2008-07-30T08:00:00.000Z,23185428,3029798
21401583,56.904621575340954,89.97637556296391,objective_function-21401583,2000-01-25T08:00:00.000Z,23185428,3029798
21401584,5.851907244974221,86.5857174813407,objective_function-21401584,2004-06-17T08:00:00.000Z,23185428,3029798
21401585,3.6186948892690274,95.9931232709202,objective_function-21401585,2015-11-08T08:00:00.000Z,23185428,3029798
21401586,85.62712576818444,48.78773543399942,objective_function-21401586,2003-07-10T08:00:00.000Z,23185428,3029798
21401587,46.81974253681413,71.35725518961547,objective_function-21401587,2014-09-09T08:00:00.000Z,23185428,3029798
21401588,90.78462222489654,46.18231892096231,objective_function-21401588,2002-04-18T08:00:00.000Z,23185428,3029798
21401589,6.0159703812727585,82.76265805695017,objective_function-21401589,2009-10-06T08:00:00.000Z,23185428,3029798
21401590,51.88288349301784,96.62688998958068,objective_function-21401590,2003-06-09T08:00:00.000Z,23185428,3029798
21401591,2.0386478015250207,19.69508526864599,objective_function-21401591,2003-10-10T08:00:00.000Z,23185428,3029798
21401592,25.00801559134797,89.16170572790948,objective_function-21401592,2008-08-04T08:00:00.000Z,23185428,3029798
21401593,58.04467343656315,90.37831639978032,objective_function-21401593,2010-03-01T08:00:00.000Z,23185428,3029798
21401594,85.45837978935516,44.26843991982269,objective_function-21401594,2010-09-01T08:00:00.000Z,23185428,3029798
21401595,61.45428003624923,81.47329338398693,objective_function-21401595,2003-04-18T08:00:00.000Z,23185428,3029798
21401596,25.352509783301464,3.898349965187094,objective_function-21401596,2019-12-19T08:00:00.000Z,23185428,3029798
21401597,14.802503004509248,54.890810462829755,objective_function-21401597,2006-10-13T08:00:00.000Z,23185428,3029798
